ADRESSE;FAMILLE PRODUIT;DATE;PROJET;DEMANDEUR;DATE FIN DE PROJET;LOT;SORTIE;COMMENTAIRE;JOURS DE PEREMPTION
STOCK_EXTERNE_F1;SIL_EXTERNE;;DOPTPHELIC;DOPTPHELIC;31/10/2016;D15S0940A;;;-184
STOCK_EXTERNE_F1;SIL_EXTERNE;;NEMSMS;DESLOGES;31/12/2015;D15S1181.2;;;121
;SIL_EXTERNE;;;;;D16F0024/25;43559;;42490
STOCK_EXTERNE_F1;SIL_EXTERNE;;DOPTIRIS;;31/12/2016;D16S2547B/D15S2322A;;;-245
STOCK_EXTERNE_F1;SIL_EXTERNE;;MAGSENS;MAGSENS;31/12/2018;D17S0905;;;-975
STOCK_EXTERNE_F1;SIL_EXTERNE;;MAGSENS;0;31/12/2018;D17S1239;;;-975
STOCK_EXTERNE_F1;SIL_EXTERNE;;HAPPINESS;DESLOGES;31/12/2017;D17T0012B;;;-610
STOCK_EXTERNE_F1;SIL_EXTERNE;;NEMSMS;GELY;31/12/2015;SB168A;;;121
STOCK_EXTERNE_F2;SIL_EXTERNE;;;;;IMAG lot de boite individuelles;;;42490
STOCK_EXTERNE_F2;SIL_EXTERNE;01/10/2018;;;;USAS17P;;;42490
STOCK_EXTERNE_F2;SIL_EXTERNE;;;Aurélie THUAIRE;;BOITES INDIVIDUELLES 1;;;42490
STOCK_EXTERNE_F2;SIL_EXTERNE;;;;;PLAQUES DECOUPEES EPIX FAB MPW;;;42490
STOCK_EXTERNE_E3;SIL_EXTERNE;06/03/2019;;PASINI;;Q512041Q05;;;42490
STOCK_EXTERNE_E3;SIL_EXTERNE;04/01/2019;;EUVRARD / STURM;;Q614120;;;42490
STOCK_EXTERNE_E3;SIL_EXTERNE;04/01/2019;;EUVRARD / STURM;;Q629175;;;42490
